ticker,score_type,holding,n,rho,p,spread,verdict,class,class_mean_rho,n_bars,start,end,top_ret,top_dd,top_n,bottom_ret,bottom_dd,bottom_n
ADI,TS,1,11626,-0.0213,0.021542,-0.1514,neutral,neutral,-0.0427,11667,1980-03-18,2026-07-02,0.0373,-1.3818,4299.0,0.1887,-1.689,2568.0
ADI,TS,5,11622,-0.0499,0.0,-0.7064,invers,neutral,-0.0427,11667,1980-03-18,2026-07-02,0.1268,-3.536,4299.0,0.8332,-4.3741,2568.0
ADI,TS,10,11617,-0.0403,1.4e-05,-0.9319,invers,neutral,-0.0427,11667,1980-03-18,2026-07-02,0.5504,-5.0145,4296.0,1.4823,-6.187,2568.0
ADI,TS,15,11612,-0.0384,3.4e-05,-1.1212,invers,neutral,-0.0427,11667,1980-03-18,2026-07-02,0.8611,-6.1036,4292.0,1.9823,-7.4803,2568.0
ADI,TS,20,11607,-0.042,6e-06,-1.196,invers,neutral,-0.0427,11667,1980-03-18,2026-07-02,1.1975,-6.9777,4291.0,2.3935,-8.539,2568.0
ADI,GESAMT,1,10960,-0.0109,0.254276,-0.042,neutral,neutral,-0.0265,11667,1980-03-18,2026-07-02,0.0396,-1.3991,3964.0,0.0816,-1.604,3051.0
ADI,GESAMT,5,10956,-0.028,0.003336,-0.36,neutral,neutral,-0.0265,11667,1980-03-18,2026-07-02,0.2382,-3.53,3962.0,0.5982,-4.0124,3051.0
ADI,GESAMT,10,10951,-0.0225,0.018674,-0.2457,neutral,neutral,-0.0265,11667,1980-03-18,2026-07-02,0.6566,-4.9952,3961.0,0.9023,-5.7533,3051.0
ADI,GESAMT,15,10946,-0.0238,0.012847,-0.2933,neutral,neutral,-0.0265,11667,1980-03-18,2026-07-02,1.0456,-6.0692,3957.0,1.3389,-7.0855,3050.0
ADI,GESAMT,20,10941,-0.0315,0.000972,-0.4876,invers,neutral,-0.0265,11667,1980-03-18,2026-07-02,1.3398,-6.926,3955.0,1.8274,-8.0883,3048.0
ADS.DE,SC,1,6510,-0.0147,0.237137,-0.0974,neutral,neutral,-0.015,7167,1998-06-26,2026-07-02,-0.0053,-1.1561,1618.0,0.0921,-1.2004,2172.0
ADS.DE,SC,5,6506,-0.034,0.006139,-0.27,invers,neutral,-0.015,7167,1998-06-26,2026-07-02,0.1325,-3.0237,1618.0,0.4025,-2.8567,2171.0
ADS.DE,SC,10,6501,-0.0176,0.156394,-0.3119,neutral,neutral,-0.015,7167,1998-06-26,2026-07-02,0.3852,-4.3617,1616.0,0.6971,-4.0321,2169.0
ADS.DE,SC,15,6496,-0.0069,0.577437,-0.1747,neutral,neutral,-0.015,7167,1998-06-26,2026-07-02,0.7395,-5.3291,1613.0,0.9142,-4.9711,2169.0
ADS.DE,SC,20,6491,-0.0014,0.909851,-0.1459,neutral,neutral,-0.015,7167,1998-06-26,2026-07-02,1.0489,-6.0573,1612.0,1.1948,-5.7533,2167.0
ADS.DE,TS,1,7126,-0.0137,0.247687,-0.0836,neutral,neutral,-0.0466,7167,1998-06-26,2026-07-02,0.0277,-1.0699,2679.0,0.1113,-1.4669,1632.0
ADS.DE,TS,5,7122,-0.023,0.052533,-0.4199,neutral,neutral,-0.0466,7167,1998-06-26,2026-07-02,0.1386,-2.6806,2675.0,0.5585,-3.7751,1632.0
ADS.DE,TS,10,7117,-0.0437,0.000225,-0.639,invers,neutral,-0.0466,7167,1998-06-26,2026-07-02,0.222,-3.8387,2670.0,0.861,-5.3398,1632.0
ADS.DE,TS,15,7112,-0.0543,5e-06,-0.9311,invers,neutral,-0.0466,7167,1998-06-26,2026-07-02,0.3923,-4.7418,2665.0,1.3234,-6.4445,1632.0
ADS.DE,TS,20,7107,-0.0652,0.0,-1.3612,invers,neutral,-0.0466,7167,1998-06-26,2026-07-02,0.5586,-5.4799,2660.0,1.9198,-7.2899,1632.0
ADS.DE,GESAMT,1,6510,-0.022,0.075696,-0.1025,neutral,neutral,-0.0442,7167,1998-06-26,2026-07-02,0.0318,-1.0336,1805.0,0.1343,-1.3125,1403.0
ADS.DE,GESAMT,5,6506,-0.0449,0.00029,-0.3059,invers,neutral,-0.0442,7167,1998-06-26,2026-07-02,0.2367,-2.6677,1803.0,0.5426,-3.2684,1403.0
ADS.DE,GESAMT,10,6501,-0.0399,0.001293,-0.4582,invers,neutral,-0.0442,7167,1998-06-26,2026-07-02,0.4905,-3.7687,1800.0,0.9487,-4.5241,1403.0
ADS.DE,GESAMT,15,6496,-0.0421,0.000692,-0.5839,invers,neutral,-0.0442,7167,1998-06-26,2026-07-02,0.7296,-4.6022,1795.0,1.3135,-5.4508,1403.0
ADS.DE,GESAMT,20,6491,-0.0498,5.9e-05,-0.7672,invers,neutral,-0.0442,7167,1998-06-26,2026-07-02,1.0292,-5.2881,1793.0,1.7964,-6.217,1403.0
AI.PA,SC,1,6025,-0.0057,0.660169,-0.0167,neutral,neutral,-0.0168,6807,2000-01-04,2026-07-02,0.0764,-0.8308,2236.0,0.0931,-0.8358,2245.0
AI.PA,SC,5,6021,-0.0082,0.523371,-0.065,neutral,neutral,-0.0168,6807,2000-01-04,2026-07-02,0.2008,-2.0638,2233.0,0.2658,-1.9964,2244.0
AI.PA,SC,10,6016,-0.0362,0.005037,-0.2258,invers,neutral,-0.0168,6807,2000-01-04,2026-07-02,0.3885,-2.9046,2231.0,0.6143,-2.7625,2243.0
AI.PA,SC,15,6011,-0.0132,0.305118,-0.1373,neutral,neutral,-0.0168,6807,2000-01-04,2026-07-02,0.6591,-3.4959,2227.0,0.7964,-3.3247,2242.0
AI.PA,SC,20,6006,-0.0094,0.46426,-0.1175,neutral,neutral,-0.0168,6807,2000-01-04,2026-07-02,0.8899,-3.9698,2225.0,1.0074,-3.7857,2239.0
AI.PA,TS,1,6766,-0.041,0.000734,-0.1549,invers,fade,-0.1427,6807,2000-01-04,2026-07-02,-0.0369,-0.883,2740.0,0.118,-1.0402,2442.0
AI.PA,TS,5,6762,-0.1071,0.0,-0.6794,invers,fade,-0.1427,6807,2000-01-04,2026-07-02,-0.0732,-2.0358,2738.0,0.6062,-2.3277,2442.0
AI.PA,TS,10,6757,-0.1269,0.0,-1.0379,invers,fade,-0.1427,6807,2000-01-04,2026-07-02,0.0099,-2.8457,2738.0,1.0478,-3.1387,2437.0
AI.PA,TS,15,6752,-0.1613,0.0,-1.5822,invers,fade,-0.1427,6807,2000-01-04,2026-07-02,-0.0323,-3.5197,2738.0,1.5499,-3.6721,2432.0
AI.PA,TS,20,6747,-0.1754,0.0,-1.961,invers,fade,-0.1427,6807,2000-01-04,2026-07-02,-0.0135,-4.0547,2738.0,1.9475,-4.0889,2427.0
AI.PA,GESAMT,1,6025,-0.0328,0.010778,-0.1266,invers,fade,-0.1156,6807,2000-01-04,2026-07-02,-0.0023,-0.8109,2311.0,0.1243,-0.9137,1443.0
AI.PA,GESAMT,5,6021,-0.0823,0.0,-0.521,invers,fade,-0.1156,6807,2000-01-04,2026-07-02,-0.0105,-1.9786,2308.0,0.5105,-2.1383,1443.0
AI.PA,GESAMT,10,6016,-0.1168,0.0,-1.0446,invers,fade,-0.1156,6807,2000-01-04,2026-07-02,0.0377,-2.8028,2308.0,1.0823,-2.8834,1440.0
AI.PA,GESAMT,15,6011,-0.1246,0.0,-1.4116,invers,fade,-0.1156,6807,2000-01-04,2026-07-02,0.1808,-3.4465,2308.0,1.5924,-3.3481,1439.0
AI.PA,GESAMT,20,6006,-0.1386,0.0,-1.7476,invers,fade,-0.1156,6807,2000-01-04,2026-07-02,0.2446,-3.963,2308.0,1.9922,-3.7189,1435.0
AIR.PA,SC,1,5764,-0.0071,0.59036,0.0086,neutral,neutral,0.0077,6372,2001-09-04,2026-07-02,0.0758,-1.2826,2112.0,0.0672,-1.3164,1806.0
AIR.PA,SC,5,5760,0.0277,0.035699,0.3828,neutral,neutral,0.0077,6372,2001-09-04,2026-07-02,0.5057,-3.1533,2110.0,0.1229,-3.4363,1806.0
AIR.PA,SC,10,5755,0.0056,0.669651,0.1094,neutral,neutral,0.0077,6372,2001-09-04,2026-07-02,0.7448,-4.5511,2107.0,0.6354,-4.7549,1805.0
